,street,latitude,longitude
0,вул. М. Коперника 41,49.8329609,24.0188213
1,вул. І. Нечуя-Левицького 8,49.8327781,24.01708689
2,"вул. Академіка А. Сахарова (вул. Стрийська, 76В)",49.82028799,24.02044102
3,вул. В. Антоновича 47,49.83181645,24.00176987
4,вул. В. Івасюка 6,49.83067375,24.04609515
5,вул. В. Івасюка 19,49.82983445,24.04532912
6,вул. Б. Хмельницького 212,49.86856905,24.05765557
7,вул. Б. Грінченка 6,49.8727989,24.05206254
8,вул. Б.-І. Антонича 12,49.78551829,24.0688416
9,вул. Білогорща 25,49.844265,23.9381736
10,вул. Білогорща 118,49.84473325,23.93820383
11,вул. Личаківська 112,49.8371719,24.0598682
12,вул. Личаківська 149,49.83754485,24.06036283
13,вул. Б. Хмельницького 289,49.8749438,24.06101085
14,вул. Богданівська 2,49.84078355,24.08640485
15,вул. Глинянський Тракт (навпроти № 70),49.8401381,24.08544215
16,вул. Глинянський Тракт 74,49.8400944,24.0861402
17,вул. Т. Шевченка 171,49.8597696,23.97065189
18,вул. Т. Шевченка 230,49.86040205,23.97013094
19,вул. Зелена 147,49.8148696,24.0613118
20,вул. Зелена 186,49.813222,24.05991
21,"вул. В. Антоновича (вул. Кульпарківська, 73)",49.82541692,23.98999394
22,вул. Т. Шевченка 77,49.847989,23.99959687
23,вул. Т. Шевченка 114,49.8427373,24.0181667
24,вул. В. Івасюка 4,49.83077075,24.04625566
25,вул. В. Івасюка 1Б,49.8296746,24.044706
26,вул. Любінська 91,49.82266725,23.9749136
27,вул. Любінська 102,49.8223012,23.9725502
28,вул. Варшавська 1,49.8550967,24.01424695
29,вул. Варшавська 2,49.85514495,24.01469882
30,вул. В. Липинського (перехрестя з вул. І. Миколайчука),49.8651056,24.0523714
31,вул. Зелена 149,49.8117237,24.061389
32,вул. Зелена 200,49.81214,24.06060147
33,"вул. Хуторівка (вул. В. Чукаріна, 28)",49.79981513,24.04169021
34,"вул. Хуторівка (навпроти вул. В. Чукаріна, 30)",49.79981513,24.04169021
35,вул. В. Щурата 12,49.8804635,24.03795952
36,просп. В. Чорновола 103,49.8661606,24.015563
37,просп. В. Чорновола (напроти № 101),49.8655769,24.01561539
38,вул. Під Голоском (навпроти № 3),49.8672983,24.01487039
39,вул. Варшавська 83,49.86200465,24.00729645
