,route_number,name,street,latitude,longitude,odd,district
0,41,5-та Міська лікарня,вул. Генерала Чупринки 64,49.830717,24.008742,+,Залізничний 
1,3А,Автобусний завод,вул. Стрийська 45,49.808405,24.019256,,Сихівський
2,3А,Автобусний завод,вул. Стрийська 104,49.807828,24.018968,+,Сихівський
3,9,Автобусний завод,вул. Стрийська 104,49.807828,24.018968,,Сихівський
4,11,Автобусний завод,вул. Стрийська 104,49.807828,24.018968,,Сихівський
5,13,Автобусний завод,вул. Стрийська 45,49.808405,24.019256,+,Сихівський
6,13,Автобусний завод,вул. Володимира Великого 2,49.808354,24.017027,,Залізничний 
7,16,Автобусний завод,вул. Стрийська 45,49.808405,24.019256,,Сихівський
8,16,Автобусний завод,вул. Володимира Великого 2,49.808354,24.017027,,Залізничний 
9,18,Автобусний завод,вул. Стрийська 45,49.808405,24.019256,,Сихівський
10,18,Автобусний завод,вул. Володимира Великого 2,49.808354,24.017027,,Залізничний 
11,27,Автобусний завод,вул. Стрийська 45,49.808405,24.019256,+,Сихівський
12,27,Автобусний завод,вул. Стрийська 104,49.807828,24.018968,,Сихівський
13,44,Автобусний завод,вул. Стрийська 45,49.807828,24.018968,+,Сихівський
14,44,Автобусний завод,вул. Володимира Великого 2,49.808354,24.017027,,Залізничний 
15,3А,Автовокзал,вул. Стрийська 109,49.7874,24.017045,+,Сихівський
16,10,Автовокзал,вул. Стрийська 109,49.7874,24.017045,,Сихівський
17,25,Автовокзал,вул. Стрийська 109,49.7874,24.017045,+,Сихівський
18,40,Автовокзал,вул. Стрийська 109,49.7874,24.017045,+,Сихівський
19,19,Авторинок,вул. Богданівська 11,49.854808,24.076078,,Залізничний 
20,19,Авторинок,вул. Богданівська 42,49.854768,24.076228,,Залізничний 
21,39,Авторинок,вул. Богданівська 11,49.854808,24.076078,,Залізничний 
22,1А,Автостанція № 2,вул. В. Липинського 60,49.865133,24.050981,,Залізничний 
23,1А,Автостанція № 2,вул. В. Липинського (навпроти № 60),49.864908,24.051676,,Залізничний 
24,9,Автостанція № 2,вул. Б. Хмельницького 225,49.864066,24.05239,,Галицький
