,stop_code,stop_name,stop_desc,stop_lat,stop_lon
0,153,Аеропорт (153),вул. Любінська 168,49.81282,23.962115
1,728,Тустань (728),вул. Любінська (навпроти буд. 168-А),49.817607,23.959695999999997
2,154,Кричевського (154),"вул. Любінська, 171",49.819258000000005,23.965157
3,148,Любінська-Виговського (148),"вул. Любінська, 101",49.820916,23.969706
4,146,Караджича (146),"вул. Любінська, 91",49.8227,23.974504
5,156,Будинок меблів (156),"вул. Любінська (вул. Зоряна, 4)",49.824968,23.979067
6,554,Окружна (554),"вул. Окружна, 56",49.826623,23.983524
7,530,Кардіологічний центр (530),"вул. Кульпарківська, 35",49.831241999999996,23.990782
8,529,Кульпарківська (529),"вул. Кульпарківська, 3",49.834204,23.990823000000002
9,494,Скриня (494),вул. Городоцька 175,49.835346,23.99509
10,749,Привокзальний ринок (749),"вул. Городоцька, 155",49.836125,23.999162
11,18,Кропивницького (18),вул. Городоцька (навпроти № 98),49.837422,24.004907
12,15,Цирк (15),вул. Городоцька (навпроти № 44),49.840196999999996,24.012256
13,16,Церква Анни (16),"вул.Городоцька,67",49.841939,24.016604
14,60,Захисників України (60),вул. Захисників України,49.84203,24.015512
15,17,Цирк (17),вул. Городоцька 44,49.84028,24.012180999999998
16,94,Кропивницького (94),вул. Городоцька 94,49.837724,24.005531
17,110,Привокзальний ринок (110),вул. Городоцька (навпроти № 155),49.836381,23.999189
18,113,Скриня (113),вул. Городоцька (навпроти № 175),49.835592,23.994692999999998
19,535,Кульпарківська (535),"вул. Любінська, 4",49.834035,23.990713
20,536,Окружна (536),"вул. Любінська, 60",49.827376,23.98315
21,147,Будинок меблів (147),"вул. Любінська, 96",49.823965,23.976738
22,149,Караджича (149),вул. Любінська 102,49.822054,23.972538
23,150,Любінська-Виговського (150),"вул. Любінська, 144",49.820479999999996,23.968176999999997
24,151,Кричевського (151),вул. Любінська 160,49.818925,23.963541
25,155,Тустань (155),вул. Любінська 168А,49.817648,23.959733
26,153-01,Аеропорт (153-01),"вул. Любінська, 168",49.814059,23.960168
27,1313,"Дубляни, Школа (1313)","м. Дубляни, вул. Т Шевченка, 21",49.904271,24.092578
28,1312,"Дубляни, центр (1312)","м. Дубляни, вул. Т. Шевченка, 2",49.90442,24.087911
29,1310,"Дубляни, Землевпорядний факультет (1310)","м. Дубляни, вул. В. Великого",49.903162,24.08794
30,1308,"Дубляни, Аграрний університет (1308)","м. Дубляни, вул. В. Великого",49.897281,24.09048
31,1306,"Дубляни, Малиняк (1306)","м. Дубляни, вул. В. Великого",49.894372,24.091215
32,1304,"Дубляни, Київська (1304)","м. Дубляни, вул. В. Великого",49.891856,24.090432
33,1302,"Дубляни, Львівська (1302)","м. Дубляни, вул. В. Великого",49.889694,24.089697
34,1200,"Малехів, цвинтар (1200)","с. Малехів, вул. Київська",49.886741,24.080336
35,1198,"Малехів, Шевченка (1198)","с. Малехів, вул. Київська",49.883841,24.075398
36,1196,"Малехів, Склади (1196)","с. Малехів, вул. Київська",49.88069,24.070242999999998
37,593,Галицьке перехрестя (593),"вул. Б. Хмельницького, 273",49.873515000000005,24.060214000000002
38,592,Назарука (592),"вул. Б. Хмельницького, 267",49.870981,24.058068
39,738,Скейт-парк (738),"вул. Б. Хмельницького, 257",49.869439,24.056792
40,601,Автостанція №2 (601),"вул. В. Липинського, 60",49.865131,24.050676
41,607,Миколайчука (607),вул. В. Липинського (перехрестя з вул. І. Миколайчука),49.865214,24.043638
42,604,БТІ (604),вул. В. Липинського (навпроти № 54),49.86492,24.040645
43,603,Бетховена (603),вул. В. Липинського (навпроти № 36),49.863391,24.032652
44,602,Замарстинівська (602),"вул. В. Липинського (вул. Покутська, 1)",49.85965,24.026139
45,609,Шевченківська РА (609),пр. В. Чорновола 57,49.855959999999996,24.021875
46,608,Хімічна (608),пр. В. Чорновола 43,49.85427,24.02272
47,6,Куліша (6),"пр. В. Чорновола, 41",49.849412,24.025209
48,705,Чорновола (705),пр. В. Чорновола (перед перехрестям з вул. Ваговою),49.845524,24.025174
49,68,Театр опери та балету (68),"пр. Свободи, 49",49.843988,24.025726000000002
50,67,пр. Свободи (67),просп. Свободи 7,49.840029,24.028207000000002
51,10,пл. Галицька (10),"пл. Галицька, 14",49.839261,24.032807000000002
52,57,Підвальна (57),вул. Підвальна 2,49.842525,24.03516
53,40,Театральна (40),"пл. Ярослава Осмомисла, (Добробут)",49.844819,24.027706
54,7,Чорновола (7),"пр. В. Чорновола, 9",49.846839,24.025603
